일본판 화수|한국판 화수|제목|에피소드 분류 키워드|에피소드 컬러 코드
1|1-01|제트 코스터 살인사건|검은조직|X
2|1-02|사장 영애 유괴사건|일반|X
3|1-03|아이돌 밀실 살인사건|일반|X
4|1-04|대도시 암호지도 사건|일반|X
5|1-05|신칸센 대폭파사건|검은조직|X
6|애X1-01|발렌타인 살인사건|일반|X
7|1-06|의문의 선물 협박사건|일반|X
8|1-11|미술관 사장 살인사건|일반|X
9|애X1-02|천하일야제 살인사건|일반|X
10|1-07|프로 축구 선수 협박 사건|일반|X
11|1-13, 1-14|피아노 소나타 『월광』 살인사건|스페셜|X
12|1-12|아유미 유괴사건|일반|X
13|1-08|기묘한 사람 찾기 살인사건|검은조직|X
14|1-09|의문의 메시지 저격 사건|일반|X
15|1-15|사라진 시체 살인사건|일반|X
16|애X1-03|골동품 컬렉터 살인사건|일반|X
17|1-10|백화점 강도 사건|일반|X
18|1-16|6월의 신부 살인사건|일반|X
19|1-17|엘리베이터 살인사건|일반|X
20|1-18|유령저택 살인사건|일반|X
21|애X1-04|TV 드라마 로케 살인사건|일반|X
22|애X1-05|호화 여객선 연속 살인사건 (전편)|일반|X
23|애X1-06|호화 여객선 연속 살인사건 (후편)|일반|X
24|1-19|수수께끼의 미녀 기억상실 사건|일반|X
25|1-20|거짓 몸값 유괴사건|일반|X
26|1-21|애견 존 살인사건|일반|X
27|애X1-07|코고로의 동창회 살인사건 (전편)|일반|X
28|애X1-08|코고로의 동창회 살인사건 (후편)|일반|X
29|1-22|컴퓨터 살인사건|일반|X
30|1-23|알리바이 증언 살인사건|일반|X
31|1-24|방송국 살인사건|일반|X
32|1-25|커피숍 살인사건|일반|X
33|1-26|탐정단 서바이벌 사건|일반|X
34|애X1-09|산장 붕대남 살인사건 (전편)|일반|X
35|애X1-10|산장 붕대남 살인사건 (후편)|일반|X
36|1-27|월요일 밤 7시 30분 살인사건|일반|X
37|1-28|선인장 꽃 살인사건|일반|X
